00BFFF,DeepSkyBlue (W3C)
3BB9FF,Midday Blue
5CB3FF,Crystal Blue
79BAEC,Denim Blue
82CAFF,Day Sky Blue
87CEFA,LightSkyBlue (W3C)
87CEEB,SkyBlue (W3C)
A0CFEC,Jeans Blue
B7CEEC,Blue Angel
B4CFEC,Pastel Blue
ADDFFF,Light Day Blue
C2DFFF,Sea Blue
C6DEFF,Heavenly Blue
BDEDFF,Robin Egg Blue
B0E0E6,PowderBlue (W3C)
AFDCEC,Coral Blue
ADD8E6,LightBlue (W3C)
B0CFDE,LightSteelBlue (W3C)
C9DFEC,Gulf Blue
D5D6EA,Pastel Light Blue
E3E4FA,Lavender Blue
E6E6FA,Lavender (W3C)
EBF4FA,Water
F0F8FF,AliceBlue (W3C)
F8F8FF,GhostWhite (W3C)
F0FFFF,Azure (W3C)
E0FFFF,LightCyan (W3C)
CCFFFF,Light Slate
9AFEFF,Electric Blue
7DFDFE,Tron Blue
57FEFF,Blue Zircon
00FFFF,Aqua or Cyan (W3C)
0AFFFF,Bright Cyan
50EBEC,Celeste
4EE2EC,Blue Diamond
16E2F5,Bright Turquoise
8EEBEC,Blue Lagoon
AFEEEE,PaleTurquoise (W3C)
CFECEC,Pale Blue Lily
81D8D0,Tiffany Blue
77BFC7,Blue Hosta
92C7C7,Cyan Opaque
78C7C7,Northern Lights Blue
7BCCB5,Blue Green
66CDAA,MediumAquaMarine (W3C)
AAF0D1,Magic Mint
7FFFD4,Aquamarine (W3C)
93FFE8,Light Aquamarine
40E0D0,Turquoise (W3C)
48D1CC,MediumTurquoise (W3C)
48CCCD,Deep Turquoise
46C7C7,Jellyfish
43C6DB,Blue Turquoise
00CED1,DarkTurquoise (W3C)
43BFC7,Macaw Blue Green
20B2AA,LightSeaGreen (W3C)
3EA99F,Seafoam Green
5F9EA0,CadetBlue (W3C)
3B9C9C,Deep-Sea
008B8B,DarkCyan (W3C)
008080,Teal (W3C)
045F5F,Medium Teal
033E3E,Deep Teal
25383C,DarkSlateGray or DarkSlateGrey (W3C)
2C3539,Gunmetal
3C565B,Blue Moss Green
4C787E,Beetle Green
5E7D7E,Grayish Turquoise
307D7E,Greenish Blue
348781,Aquamarine Stone
438D80,Sea Turtle Green
4E8975,Dull-Sea Green
306754,Deep-Sea Green
2E8B57,SeaGreen (W3C)
31906E,Dark Mint
00A36C,Jade
34A56F,Earth Green
50C878,Emerald
3EB489,Mint
3CB371,MediumSeaGreen (W3C)
78866B,Camouflage Green
848B79,Sage Green
617C58,Hazel Green
728C00,Venom Green
6B8E23,OliveDrab (W3C)
808000,Olive (W3C)
556B2F,DarkOliveGreen (W3C)
4B5320,Army Green
667C26,Fern Green
4E9258,Fall Forest Green
387C44,Pine Green
347235,Medium Forest Green
347C2C,Jungle Green
228B22,ForestGreen (W3C)
008000,Green (W3C)
006400,DarkGreen (W3C)
046307,Deep Emerald Green
254117,Dark Forest Green
437C17,Seaweed Green
347C17,Shamrock Green
6AA121,Green Onion
4AA02C,Green Pepper
41A317,Dark Lime Green
12AD2B,Parrot Green
